FID,UnitName,PointName,Latitude,Longitude,SegmentL,SDate,Visit,SpeciesCod,SAgeID,PassCount1,PassCount2,PassCount3,Depth1,Depth2,Depth3,WaterPrese,SiltClay,Sand,Gravel,Pebble,Cobble,Boulder,Bedrock,Artificial,Detritus,LengthPool,LengthRun,LengthRiff,Width1,Width2,Width3,FishPresen,CrayfishPr,pH,Conductivi,WaterTemp,StartAirTe,StartWater,DDMLatLon,ORIG_OID,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y
723,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,7/7/2010 0:00:00,2,EBIS,larva,1,0,NULL,3.7,5.9,14,Y,54,16,17,13,NULL,NULL,NULL,NULL,NULL,1,10,4,65,101,66,N,Y,NULL,-99,NULL,31.3,22.7,38 59.21953120N 076 46.28320095W,723,103380,0.005533559916600,-76.774000918200002,38.991869281800000
724,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,6/22/2011 0:00:00,1,EBIS,larva,2,0,0,5,6.5,4,Y,13,32,13,3,3,NULL,NULL,NULL,36,0,2,13,87,95,123,N,N,7.2,180,NULL,28.1,14.8,38 59.21953120N 076 46.28320095W,724,103380,0.005533559916600,-76.774000918200002,38.991869281800000
725,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,7/25/2011 0:00:00,2,EBIS,larva,10,2,0,3.5,2.5,1.5,Y,5,37,47,NULL,NULL,NULL,NULL,NULL,11,1,1,13,65,65,60,N,N,NULL,NULL,NULL,NULL,NULL,38 59.21953120N 076 46.28320095W,725,103380,0.005533559916600,-76.774000918200002,38.991869281800000
726,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,6/20/2012 0:00:00,1,DFUS,adult,1,1,0,3.5,3,5.5,Y,7,27,9,5,8,NULL,NULL,NULL,44,0,15,0,82,37,210,N,Y,7,187,NULL,29.1,20.4,38 59.21953120N 076 46.28320095W,726,103380,0.005533559916600,-76.774000918200002,38.991869281800000
727,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,6/20/2012 0:00:00,1,EBIS,adult,0,1,0,3.5,3,5.5,Y,7,27,9,5,8,NULL,NULL,NULL,44,0,15,0,82,37,210,N,Y,7,187,NULL,29.1,20.4,38 59.21953120N 076 46.28320095W,727,103380,0.005533559916600,-76.774000918200002,38.991869281800000
728,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,7/26/2012 0:00:00,2,DFUS,adult,0,1,0,11,4,2,Y,2,44,47,NULL,NULL,NULL,NULL,NULL,7,1,10,4,108,105,120,N,Y,7.4,198,NULL,22.7,19.2,38 59.21953120N 076 46.28320095W,728,103380,0.005533559916600,-76.774000918200002,38.991869281800000
729,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,7/26/2012 0:00:00,2,EBIS,larva,2,1,5,11,4,2,Y,2,44,47,NULL,NULL,NULL,NULL,NULL,7,1,10,4,108,105,120,N,Y,7.4,198,NULL,22.7,19.2,38 59.21953120N 076 46.28320095W,729,103380,0.005533559916600,-76.774000918200002,38.991869281800000
730,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,6/27/2013 0:00:00,1,DFUS,adult,2,0,0,3,2.5,3,Y,2,26,38,NULL,9,NULL,NULL,NULL,25,0,3,12,212,142,110,N,Y,6.2,146,NULL,23.4,17.9,38 59.21953120N 076 46.28320095W,730,103380,0.005533559916600,-76.774000918200002,38.991869281800000
731,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,6/27/2013 0:00:00,1,DFUS,juvenile,3,0,0,3,2.5,3,Y,2,26,38,NULL,9,NULL,NULL,NULL,25,0,3,12,212,142,110,N,Y,6.2,146,NULL,23.4,17.9,38 59.21953120N 076 46.28320095W,731,103380,0.005533559916600,-76.774000918200002,38.991869281800000
732,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,6/27/2013 0:00:00,1,EBIS,adult,1,0,0,3,2.5,3,Y,2,26,38,NULL,9,NULL,NULL,NULL,25,0,3,12,212,142,110,N,Y,6.2,146,NULL,23.4,17.9,38 59.21953120N 076 46.28320095W,732,103380,0.005533559916600,-76.774000918200002,38.991869281800000
733,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,6/27/2013 0:00:00,1,EBIS,juvenile,1,0,0,3,2.5,3,Y,2,26,38,NULL,9,NULL,NULL,NULL,25,0,3,12,212,142,110,N,Y,6.2,146,NULL,23.4,17.9,38 59.21953120N 076 46.28320095W,733,103380,0.005533559916600,-76.774000918200002,38.991869281800000
734,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,6/27/2013 0:00:00,1,EBIS,larva,18,10,9,3,2.5,3,Y,2,26,38,NULL,9,NULL,NULL,NULL,25,0,3,12,212,142,110,N,Y,6.2,146,NULL,23.4,17.9,38 59.21953120N 076 46.28320095W,734,103380,0.005533559916600,-76.774000918200002,38.991869281800000
735,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,6/27/2013 0:00:00,1,PRUB,larva,1,0,0,3,2.5,3,Y,2,26,38,NULL,9,NULL,NULL,NULL,25,0,3,12,212,142,110,N,Y,6.2,146,NULL,23.4,17.9,38 59.21953120N 076 46.28320095W,735,103380,0.005533559916600,-76.774000918200002,38.991869281800000
736,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,8/2/2013 0:00:00,2,EBIS,larva,1,6,0,3,5.5,2.5,Y,NULL,41,31,9,NULL,NULL,NULL,NULL,19,0,5,10,183,81,86,N,Y,6.3,151,NULL,21.2,19,38 59.21953120N 076 46.28320095W,736,103380,0.005533559916600,-76.774000918200002,38.991869281800000
737,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,8/2/2013 0:00:00,2,DFUS,adult,0,1,0,3,5.5,2.5,Y,NULL,41,31,9,NULL,NULL,NULL,NULL,19,0,5,10,183,81,86,N,Y,6.3,151,NULL,21.2,19,38 59.21953120N 076 46.28320095W,737,103380,0.005533559916600,-76.774000918200002,38.991869281800000
738,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,6/18/2014 0:00:00,1,EBIS,larva,14,3,3,6.4,3.6,2.5,Y,4,14,42,34,5,NULL,NULL,NULL,1,0,1,14,125,155,125,N,Y,7.3,142,NULL,26.2,15.3,38 59.21953120N 076 46.28320095W,738,103380,0.005533559916600,-76.774000918200002,38.991869281800000
739,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,6/18/2014 0:00:00,1,EBIS,juvenile,1,1,0,6.4,3.6,2.5,Y,4,14,42,34,5,NULL,NULL,NULL,1,0,1,14,125,155,125,N,Y,7.3,142,NULL,26.2,15.3,38 59.21953120N 076 46.28320095W,739,103380,0.005533559916600,-76.774000918200002,38.991869281800000
740,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,6/18/2014 0:00:00,1,PRUB,larva,0,1,0,6.4,3.6,2.5,Y,4,14,42,34,5,NULL,NULL,NULL,1,0,1,14,125,155,125,N,Y,7.3,142,NULL,26.2,15.3,38 59.21953120N 076 46.28320095W,740,103380,0.005533559916600,-76.774000918200002,38.991869281800000
741,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,6/18/2014 0:00:00,1,DFUS,juvenile,1,0,1,6.4,3.6,2.5,Y,4,14,42,34,5,NULL,NULL,NULL,1,0,1,14,125,155,125,N,Y,7.3,142,NULL,26.2,15.3,38 59.21953120N 076 46.28320095W,741,103380,0.005533559916600,-76.774000918200002,38.991869281800000
742,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,6/18/2014 0:00:00,1,DFUS,adult,1,0,0,6.4,3.6,2.5,Y,4,14,42,34,5,NULL,NULL,NULL,1,0,1,14,125,155,125,N,Y,7.3,142,NULL,26.2,15.3,38 59.21953120N 076 46.28320095W,742,103380,0.005533559916600,-76.774000918200002,38.991869281800000
743,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,8/1/2014 0:00:00,2,EBIS,larva,2,1,3,4.4,7.4,9.1,Y,NULL,6,7,71,12,NULL,NULL,NULL,4,0,1,14,132,103,130,N,Y,7.3,149,NULL,21,15.6,38 59.21953120N 076 46.28320095W,743,103380,0.005533559916600,-76.774000918200002,38.991869281800000
744,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,8/1/2014 0:00:00,2,DFUS,adult,1,0,0,4.4,7.4,9.1,Y,NULL,6,7,71,12,NULL,NULL,NULL,4,0,1,14,132,103,130,N,Y,7.3,149,NULL,21,15.6,38 59.21953120N 076 46.28320095W,744,103380,0.005533559916600,-76.774000918200002,38.991869281800000
745,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,6/29/2015 0:00:00,1,EBIS,larva,0,0,1,9.1,9.2,5.1,Y,NULL,27,13,50,3,NULL,NULL,NULL,7,0,1,14,170,74,147,N,Y,8,171,NULL,20.6,14.9,38 59.21953120N 076 46.28320095W,745,103380,0.005533559916600,-76.774000918200002,38.991869281800000
746,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,6/29/2015 0:00:00,1,DFUS,adult,1,1,0,9.1,9.2,5.1,Y,NULL,27,13,50,3,NULL,NULL,NULL,7,0,1,14,170,74,147,N,Y,8,171,NULL,20.6,14.9,38 59.21953120N 076 46.28320095W,746,103380,0.005533559916600,-76.774000918200002,38.991869281800000
747,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,6/20/2016 0:00:00,1,DFUS,juvenile,1,0,0,6.5,5.8,8.2,Y,33,16,16,23,8,NULL,NULL,NULL,2,0,5,10,120,150,50,N,Y,5.9,192,NULL,21,15.4,38 59.21953120N 076 46.28320095W,747,103380,0.005533559916600,-76.774000918200002,38.991869281800000
748,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,6/20/2016 0:00:00,1,EBIS,larva,4,0,3,6.5,5.8,8.2,Y,33,16,16,23,8,NULL,NULL,NULL,2,0,5,10,120,150,50,N,Y,5.9,192,NULL,21,15.4,38 59.21953120N 076 46.28320095W,748,103380,0.005533559916600,-76.774000918200002,38.991869281800000
749,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,6/20/2016 0:00:00,1,ELON,larva,0,0,1,6.5,5.8,8.2,Y,33,16,16,23,8,NULL,NULL,NULL,2,0,5,10,120,150,50,N,Y,5.9,192,NULL,21,15.4,38 59.21953120N 076 46.28320095W,749,103380,0.005533559916600,-76.774000918200002,38.991869281800000
750,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,7/22/2016 0:00:00,2,EBIS,juvenile,2,0,0,45,47,37,Y,21,16,35,6,5,NULL,NULL,NULL,17,0,8,7,79,78,145,N,Y,7,198,NULL,23.7,17.7,38 59.21953120N 076 46.28320095W,750,103380,0.005533559916600,-76.774000918200002,38.991869281800000
751,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,7/22/2016 0:00:00,2,DFUS,adult,0,1,0,45,47,37,Y,21,16,35,6,5,NULL,NULL,NULL,17,0,8,7,79,78,145,N,Y,7,198,NULL,23.7,17.7,38 59.21953120N 076 46.28320095W,751,103380,0.005533559916600,-76.774000918200002,38.991869281800000
752,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,7/22/2016 0:00:00,2,EBIS,larva,8,3,5,45,47,37,Y,21,16,35,6,5,NULL,NULL,NULL,17,0,8,7,79,78,145,N,Y,7,198,NULL,23.7,17.7,38 59.21953120N 076 46.28320095W,752,103380,0.005533559916600,-76.774000918200002,38.991869281800000
753,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,7/26/2017 0:00:00,1,EBIS,larva,4,3,3,4.9,3.3,4.7,Y,14,5,44,2,2,NULL,NULL,NULL,33,0,3,12,107,102,77,N,Y,7,215,NULL,22.9,17.4,38 59.21953120N 076 46.28320095W,753,103380,0.005533559916600,-76.774000918200002,38.991869281800000
754,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,7/26/2017 0:00:00,1,PRUB,larva,1,1,0,4.9,3.3,4.7,Y,14,5,44,2,2,NULL,NULL,NULL,33,0,3,12,107,102,77,N,Y,7,215,NULL,22.9,17.4,38 59.21953120N 076 46.28320095W,754,103380,0.005533559916600,-76.774000918200002,38.991869281800000
755,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,7/26/2017 0:00:00,1,DFUS,juvenile,1,1,0,4.9,3.3,4.7,Y,14,5,44,2,2,NULL,NULL,NULL,33,0,3,12,107,102,77,N,Y,7,215,NULL,22.9,17.4,38 59.21953120N 076 46.28320095W,755,103380,0.005533559916600,-76.774000918200002,38.991869281800000
756,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,7/26/2017 0:00:00,1,DFUS,adult,2,0,0,4.9,3.3,4.7,Y,14,5,44,2,2,NULL,NULL,NULL,33,0,3,12,107,102,77,N,Y,7,215,NULL,22.9,17.4,38 59.21953120N 076 46.28320095W,756,103380,0.005533559916600,-76.774000918200002,38.991869281800000
757,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,7/26/2017 0:00:00,1,ELON,larva,1,0,0,4.9,3.3,4.7,Y,14,5,44,2,2,NULL,NULL,NULL,33,0,3,12,107,102,77,N,Y,7,215,NULL,22.9,17.4,38 59.21953120N 076 46.28320095W,757,103380,0.005533559916600,-76.774000918200002,38.991869281800000
758,C & O Canal National Historic Park,COST31-4,38.987000000000002,-76.771388900000005,15m,6/13/2006 0:00:00,1,EBIS,larva,0,3,NULL,5,5,3,Y,NULL,63,12,NULL,12,NULL,NULL,NULL,13,0,14,1,190,175,80,N,Y,5.76,130,NULL,16.7,14.4,38 59.21953120N 076 46.28320095W,758,103380,0.005533559916600,-76.774000918200002,38.991869281800000
759,C & O Canal National Historic Park,COST31-4,38.987000000000002,-76.771388900000005,15m,6/13/2006 0:00:00,1,DFUS,larva,1,0,NULL,5,5,3,Y,NULL,63,12,NULL,12,NULL,NULL,NULL,13,0,14,1,190,175,80,N,Y,5.76,130,NULL,16.7,14.4,38 59.21953120N 076 46.28320095W,759,103380,0.005533559916600,-76.774000918200002,38.991869281800000
760,C & O Canal National Historic Park,COST31-4,38.987000000000002,-76.771388900000005,15m,7/14/2006 0:00:00,2,DFUS,juvenile,1,0,NULL,7,7,8,Y,NULL,53,33,NULL,13,NULL,NULL,NULL,NULL,0,6,9,97,106,130,N,Y,5.76,134,NULL,23.7,19.2,38 59.21953120N 076 46.28320095W,760,103380,0.005533559916600,-76.774000918200002,38.991869281800000
761,C & O Canal National Historic Park,COST31-4,38.987000000000002,-76.771388900000005,15m,7/14/2006 0:00:00,2,DFUS,larva,1,0,NULL,7,7,8,Y,NULL,53,33,NULL,13,NULL,NULL,NULL,NULL,0,6,9,97,106,130,N,Y,5.76,134,NULL,23.7,19.2,38 59.21953120N 076 46.28320095W,761,103380,0.005533559916600,-76.774000918200002,38.991869281800000
762,C & O Canal National Historic Park,COST31-4,38.987000000000002,-76.771388900000005,15m,7/14/2006 0:00:00,2,EBIS,larva,1,1,NULL,7,7,8,Y,NULL,53,33,NULL,13,NULL,NULL,NULL,NULL,0,6,9,97,106,130,N,Y,5.76,134,NULL,23.7,19.2,38 59.21953120N 076 46.28320095W,762,103380,0.005533559916600,-76.774000918200002,38.991869281800000
763,C & O Canal National Historic Park,COST31-4,38.987000000000002,-76.771388900000005,15m,7/14/2006 0:00:00,2,NSIP,juvenile,NULL,NULL,NULL,7,7,8,Y,NULL,53,33,NULL,13,NULL,NULL,NULL,NULL,0,6,9,97,106,130,N,Y,5.76,134,NULL,23.7,19.2,38 59.21953120N 076 46.28320095W,763,103380,0.005533559916600,-76.774000918200002,38.991869281800000
764,C & O Canal National Historic Park,COST31-4,38.987000000000002,-76.771388900000005,15m,7/10/2007 0:00:00,3,DFUS,adult,2,0,NULL,4.4,5.3,3.3,Y,NULL,51,4,NULL,NULL,NULL,NULL,NULL,45,0,0,15,118,108,138,N,Y,5.7,246,NULL,26.1,13.4,38 59.21953120N 076 46.28320095W,764,103380,0.005533559916600,-76.774000918200002,38.991869281800000
765,C & O Canal National Historic Park,COST31-4,38.987000000000002,-76.771388900000005,15m,7/10/2007 0:00:00,3,EBIS,adult,1,0,NULL,4.4,5.3,3.3,Y,NULL,51,4,NULL,NULL,NULL,NULL,NULL,45,0,0,15,118,108,138,N,Y,5.7,246,NULL,26.1,13.4,38 59.21953120N 076 46.28320095W,765,103380,0.005533559916600,-76.774000918200002,38.991869281800000
766,C & O Canal National Historic Park,COST31-4,38.987000000000002,-76.771388900000005,15m,7/10/2007 0:00:00,3,EBIS,larva,2,0,NULL,4.4,5.3,3.3,Y,NULL,51,4,NULL,NULL,NULL,NULL,NULL,45,0,0,15,118,108,138,N,Y,5.7,246,NULL,26.1,13.4,38 59.21953120N 076 46.28320095W,766,103380,0.005533559916600,-76.774000918200002,38.991869281800000
767,C & O Canal National Historic Park,COST31-4,38.987000000000002,-76.771388900000005,15m,6/30/2008 0:00:00,2,EBIS,larva,0,1,NULL,6,6.5,3,Y,31,24,36,7,NULL,NULL,NULL,NULL,NULL,2,8,5,96,70,68,N,Y,6.75,154,NULL,22.4,20.1,38 59.21953120N 076 46.28320095W,767,103380,0.005533559916600,-76.774000918200002,38.991869281800000
768,C & O Canal National Historic Park,COST31-4,38.987000000000002,-76.771388900000005,15m,6/3/2009 0:00:00,1,NULL,NULL,NULL,NULL,NULL,7,3,5,NULL,NULL,27,60,NULL,NULL,NULL,NULL,NULL,13,4,3,8,90,107,210,N,Y,7.12,133,NULL,22.9,14.2,38 59.21953120N 076 46.28320095W,768,103380,0.005533559916600,-76.774000918200002,38.991869281800000
769,C & O Canal National Historic Park,COST31-4,38.987000000000002,-76.771388900000005,15m,7/3/2009 0:00:00,2,DFUS,juvenile,1,0,NULL,8,4.5,9.5,Y,NULL,67,33,NULL,NULL,NULL,NULL,NULL,NULL,1,0,14,88,89,47,N,N,5.83,151,NULL,20.7,14.1,38 59.21953120N 076 46.28320095W,769,103380,0.005533559916600,-76.774000918200002,38.991869281800000
770,C & O Canal National Historic Park,COST31-4,38.987000000000002,-76.771388900000005,15m,6/3/2010 0:00:00,1,EBIS,larva,1,1,NULL,5,6,5,Y,NULL,59,15,NULL,11,NULL,NULL,NULL,15,4,NULL,11,129,151,176,N,Y,6.48,-99,NULL,26.6,19.1,38 59.21953120N 076 46.28320095W,770,103380,0.005533559916600,-76.774000918200002,38.991869281800000
771,C & O Canal National Historic Park,COST31-4,38.987000000000002,-76.771388900000005,15m,7/7/2010 0:00:00,2,DFUS,adult,1,0,NULL,5.4,2.1,3.2,Y,NULL,33,41,24,1,NULL,NULL,NULL,1,NULL,8,7,35,77,97,N,Y,NULL,-99,NULL,31.3,22.7,38 59.21953120N 076 46.28320095W,771,103380,0.005533559916600,-76.774000918200002,38.991869281800000
772,C & O Canal National Historic Park,COST31-4,38.987000000000002,-76.771388900000005,15m,7/7/2010 0:00:00,2,DFUS,juvenile,1,0,NULL,5.4,2.1,3.2,Y,NULL,33,41,24,1,NULL,NULL,NULL,1,NULL,8,7,35,77,97,N,Y,NULL,-99,NULL,31.3,22.7,38 59.21953120N 076 46.28320095W,772,103380,0.005533559916600,-76.774000918200002,38.991869281800000
773,C & O Canal National Historic Park,COST31-4,38.987000000000002,-76.771388900000005,15m,6/22/2011 0:00:00,1,NULL,NULL,NULL,NULL,NULL,5,2,2.5,Y,11,53,3,NULL,NULL,NULL,NULL,NULL,33,0,9,6,109,150,34,N,N,7.2,180,NULL,28.1,14.8,38 59.21953120N 076 46.28320095W,773,103380,0.005533559916600,-76.774000918200002,38.991869281800000
774,C & O Canal National Historic Park,COST31-4,38.987000000000002,-76.771388900000005,15m,7/25/2011 0:00:00,2,DFUS,juvenile,0,1,0,1.5,3,4.5,Y,NULL,5,59,NULL,3,NULL,33,NULL,NULL,1,0,14,70,85,170,N,Y,NULL,NULL,NULL,NULL,NULL,38 59.21953120N 076 46.28320095W,774,103380,0.005533559916600,-76.774000918200002,38.991869281800000
775,C & O Canal National Historic Park,COST31-4,38.987000000000002,-76.771388900000005,15m,7/25/2011 0:00:00,2,EBIS,larva,5,3,0,1.5,3,4.5,Y,NULL,5,59,NULL,3,NULL,33,NULL,NULL,1,0,14,70,85,170,N,Y,NULL,NULL,NULL,NULL,NULL,38 59.21953120N 076 46.28320095W,775,103380,0.005533559916600,-76.774000918200002,38.991869281800000
776,C & O Canal National Historic Park,COST31-4,38.987000000000002,-76.771388900000005,15m,6/20/2012 0:00:00,1,DFUS,juvenile,1,0,0,4,3.5,5,Y,22,39,30,NULL,NULL,NULL,NULL,NULL,5,0,15,0,124,135,73,N,Y,7,187,NULL,29.1,20.4,38 59.21953120N 076 46.28320095W,776,103380,0.005533559916600,-76.774000918200002,38.991869281800000
777,C & O Canal National Historic Park,COST31-4,38.987000000000002,-76.771388900000005,15m,7/26/2012 0:00:00,2,DFUS,juvenile,1,0,0,2,3,3.5,Y,NULL,51,16,20,9,NULL,NULL,NULL,4,0,11,4,155,63,85,N,Y,7.4,198,NULL,22.7,19.2,38 59.21953120N 076 46.28320095W,777,103380,0.005533559916600,-76.774000918200002,38.991869281800000
778,C & O Canal National Historic Park,COST31-4,38.987000000000002,-76.771388900000005,15m,7/26/2012 0:00:00,2,EBIS,larva,3,2,1,2,3,3.5,Y,NULL,51,16,20,9,NULL,NULL,NULL,4,0,11,4,155,63,85,N,Y,7.4,198,NULL,22.7,19.2,38 59.21953120N 076 46.28320095W,778,103380,0.005533559916600,-76.774000918200002,38.991869281800000
779,C & O Canal National Historic Park,COST31-4,38.987000000000002,-76.771388900000005,15m,6/27/2013 0:00:00,1,DFUS,adult,1,0,1,3,3.5,3.5,Y,1,49,20,NULL,7,NULL,NULL,NULL,23,0,2,13,110,210,135,N,Y,6.2,146,NULL,23.4,17.9,38 59.21953120N 076 46.28320095W,779,103380,0.005533559916600,-76.774000918200002,38.991869281800000
780,C & O Canal National Historic Park,COST31-4,38.987000000000002,-76.771388900000005,15m,6/27/2013 0:00:00,1,EBIS,larva,9,5,6,3,3.5,3.5,Y,1,49,20,NULL,7,NULL,NULL,NULL,23,0,2,13,110,210,135,N,Y,6.2,146,NULL,23.4,17.9,38 59.21953120N 076 46.28320095W,780,103380,0.005533559916600,-76.774000918200002,38.991869281800000
781,C & O Canal National Historic Park,COST31-4,38.987000000000002,-76.771388900000005,15m,8/2/2013 0:00:00,2,EBIS,larva,0,2,0,2.5,3,6.2,Y,16,35,21,12,NULL,NULL,NULL,NULL,16,0,5,10,86,54,97,N,Y,6.3,151,NULL,21.2,19,38 59.21953120N 076 46.28320095W,781,103380,0.005533559916600,-76.774000918200002,38.991869281800000
782,C & O Canal National Historic Park,COST31-4,38.987000000000002,-76.771388900000005,15m,8/2/2013 0:00:00,2,EBIS,adult,1,0,0,2.5,3,6.2,Y,16,35,21,12,NULL,NULL,NULL,NULL,16,0,5,10,86,54,97,N,Y,6.3,151,NULL,21.2,19,38 59.21953120N 076 46.28320095W,782,103380,0.005533559916600,-76.774000918200002,38.991869281800000
783,C & O Canal National Historic Park,COST31-4,38.987000000000002,-76.771388900000005,15m,8/2/2013 0:00:00,2,DFUS,juvenile,1,0,0,2.5,3,6.2,Y,16,35,21,12,NULL,NULL,NULL,NULL,16,0,5,10,86,54,97,N,Y,6.3,151,NULL,21.2,19,38 59.21953120N 076 46.28320095W,783,103380,0.005533559916600,-76.774000918200002,38.991869281800000
784,C & O Canal National Historic Park,COST31-4,38.987000000000002,-76.771388900000005,15m,8/2/2013 0:00:00,2,DFUS,adult,3,0,0,2.5,3,6.2,Y,16,35,21,12,NULL,NULL,NULL,NULL,16,0,5,10,86,54,97,N,Y,6.3,151,NULL,21.2,19,38 59.21953120N 076 46.28320095W,784,103380,0.005533559916600,-76.774000918200002,38.991869281800000
785,C & O Canal National Historic Park,COST31-4,38.987000000000002,-76.771388900000005,15m,6/18/2014 0:00:00,1,EBIS,larva,11,8,11,11.5,2.7,7.1,Y,4,7,50,31,6,NULL,NULL,NULL,2,0,4,11,79,175,135,N,Y,8.2,141,NULL,26.2,15.5,38 59.21953120N 076 46.28320095W,785,103380,0.005533559916600,-76.774000918200002,38.991869281800000
786,C & O Canal National Historic Park,COST31-4,38.987000000000002,-76.771388900000005,15m,8/1/2014 0:00:00,2,EBIS,larva,14,3,3,9.5,5.4,5.7,Y,NULL,4,25,51,11,NULL,NULL,NULL,9,2,2,11,76,175,168,N,Y,7.3,149,NULL,21,15.6,38 59.21953120N 076 46.28320095W,786,103380,0.005533559916600,-76.774000918200002,38.991869281800000
787,C & O Canal National Historic Park,COST31-4,38.987000000000002,-76.771388900000005,15m,8/1/2014 0:00:00,2,EBIS,adult,3,0,0,9.5,5.4,5.7,Y,NULL,4,25,51,11,NULL,NULL,NULL,9,2,2,11,76,175,168,N,Y,7.3,149,NULL,21,15.6,38 59.21953120N 076 46.28320095W,787,103380,0.005533559916600,-76.774000918200002,38.991869281800000
788,C & O Canal National Historic Park,COST31-4,38.987000000000002,-76.771388900000005,15m,8/1/2014 0:00:00,2,EBIS,juvenile,0,1,0,9.5,5.4,5.7,Y,NULL,4,25,51,11,NULL,NULL,NULL,9,2,2,11,76,175,168,N,Y,7.3,149,NULL,21,15.6,38 59.21953120N 076 46.28320095W,788,103380,0.005533559916600,-76.774000918200002,38.991869281800000
789,C & O Canal National Historic Park,COST31-4,38.987000000000002,-76.771388900000005,15m,6/29/2015 0:00:00,1,EBIS,larva,3,8,7,13.6,10.8,8.1,Y,3,45,37,1,3,NULL,NULL,NULL,11,0,2,13,27,20,16,N,Y,8,171,NULL,20.6,14.9,38 59.21953120N 076 46.28320095W,789,103380,0.005533559916600,-76.774000918200002,38.991869281800000
790,C & O Canal National Historic Park,COST31-4,38.987000000000002,-76.771388900000005,15m,6/29/2015 0:00:00,1,EBIS,juvenile,1,0,0,13.6,10.8,8.1,Y,3,45,37,1,3,NULL,NULL,NULL,11,0,2,13,27,20,16,N,Y,8,171,NULL,20.6,14.9,38 59.21953120N 076 46.28320095W,790,103380,0.005533559916600,-76.774000918200002,38.991869281800000
791,C & O Canal National Historic Park,COST31-4,38.987000000000002,-76.771388900000005,15m,6/29/2015 0:00:00,1,EBIS,adult,2,0,0,13.6,10.8,8.1,Y,3,45,37,1,3,NULL,NULL,NULL,11,0,2,13,27,20,16,N,Y,8,171,NULL,20.6,14.9,38 59.21953120N 076 46.28320095W,791,103380,0.005533559916600,-76.774000918200002,38.991869281800000
792,C & O Canal National Historic Park,COST31-4,38.987000000000002,-76.771388900000005,15m,6/29/2015 0:00:00,1,PRUB,larva,0,0,1,13.6,10.8,8.1,Y,3,45,37,1,3,NULL,NULL,NULL,11,0,2,13,27,20,16,N,Y,8,171,NULL,20.6,14.9,38 59.21953120N 076 46.28320095W,792,103380,0.005533559916600,-76.774000918200002,38.991869281800000
793,C & O Canal National Historic Park,COST31-4,38.987000000000002,-76.771388900000005,15m,6/29/2015 0:00:00,1,DFUS,juvenile,1,1,1,13.6,10.8,8.1,Y,3,45,37,1,3,NULL,NULL,NULL,11,0,2,13,27,20,16,N,Y,8,171,NULL,20.6,14.9,38 59.21953120N 076 46.28320095W,793,103380,0.005533559916600,-76.774000918200002,38.991869281800000
